"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Three great novels","Jane Eyre ; Tenant of Wildfell Hall ; Wuthering Heights","006719579","Monograph","Language material ; Text","Volume","GB9412699","","9780192822857","Brontë, Charlotte","1816-1855","person","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","Oxford","Oxford University Press","1994","","viii, 933 pages, 20 cm","823.8","H.94/1526","English fiction--Women authors ; English fiction--19th century","","English","Title from cover",""
"Through Belgian eyes : Charlotte Brontë's troubled Brussels legacy","","018616652","Monograph","Language material ; Still image ; Text","Volume","GBB7M5296","","9781845199104","MacEwan, Helen","","person","author","MacEwan, Helen, author [person]","","","England","Brighton","Sussex Academic Press","2017","","xviii, 258 pages, 8 unnumbered pages of plates, illustrations (black and white and colour), 23 cm","823.8","YC.2018.a.4448","English fiction--19th century--History and criticism ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Brussels (Belgium)--In literature","","English","",""
"Time, space, and place in Charlotte Brontë","","017710576","Monograph","Language material ; Text","Volume","GBB610248","","9781472453860","","","","","Hoeveler, Diane Long, editor [person] ; Morse, Deborah Denenholz, 1949-, editor [person]","","","England","Farnham, Surrey","Ashgate","2016","","1 volume, 24 cm","823.8","","Brontë, Charlotte, 1816-1855--Settings ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Time in literature","","English","Additional physical form: ebook version. 9781317010081",""
"Time, space, and place in Charlotte Brontë","","017711706","Monograph","Language material ; Text","Online resource (ebook)","GBB611373","","9781472453877 ; 9781472453884","","","","","Hoeveler, Diane Long, editor [person] ; Morse, Deborah Denenholz, 1949-, editor [person]","","","England","Farnham, Surrey","Ashgate","2016","","1 online resource","823.8","","Brontë, Charlotte, 1816-1855--Settings ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Time in literature","","English","Additional physical form: Print version. 9781472453860",""
"Time, space, and place in Charlotte Brontë","","018006237","Monograph","Language material ; Text","Online resource","GBB747184","","9781315550923 ; 9781317010081 ; 9781317010098","","","","","Hoeveler, Diane Long [person] ; Morse, Deborah Denenholz [person]","","","England","Abingdon, Oxfordshire","Routledge","2017","","1 online resource (xii, 220 pages, illustrations","823.8","ELD.DS.87143","English literature ; Brontë, Charlotte, 1816-1855 ; Space and time in literature ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; English literature--19th century--History and criticism","Criticsm and interpretation","English","",""
"Time, space, and place in Charlotte Brontë","","019642287","Monograph","Language material ; Text","Volume","GBB9J9017","","9780367880927","","","","","Hoeveler, Diane Long, editor [person] ; Morse, Deborah Denenholz, 1949-, editor [person]","","","England","London","Routledge","2019","","1 volume, 24 cm","823.8","","Brontë, Charlotte, 1816-1855--Settings ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Time in literature","","English","",""
"Translation, Authorship and the Victorian Professional Woman : Charlotte Brontë, Harriet Martineau and George Eliot","","017785652","Monograph","Language material ; Text","Online resource","GBB6H9801","","9781317007081","Scholl, Lesa","","person","author","Scholl, Lesa, author [person]","","","","","Routledge","2016","","1 online resource (222 pages)","823.809","ELD.DS.50887","Literature and society--Great Britain--History--19th century ; English fiction--Women authors--History and criticism ; Martineau, Harriet, 1802-1876--Criticism and interpretation ; Translating and interpreting--England--History--19th century ; Bront©±, Charlotte, 1816-1855--Criticism and interpretation ; Women editors--Great Britain ; English fiction--19th century--History and criticism ; Eliot, George, 1819-1880--Criticism and interpretation","","English","",""
"Translation, authorship, and the Victorian professional woman : Charlotte Brontë, Harriet Martineau and George Eliot","","015809283","Monograph","Language material ; Text","Volume","GBB159463","","9781409426530","Scholl, Lesa","","person","","Scholl, Lesa [person]","","","England ; United States of America","Farnham","Ashgate","2011","","vii, 213 pages, 24 cm","823.809","YC.2011.a.12345","Literature and society--Great Britain--History--19th century ; English fiction--Women authors--History and criticism ; Martineau, Harriet, 1802-1876--Criticism and interpretation ; Translating and interpreting--England--History--19th century ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Women editors--Great Britain ; English fiction--19th century--History and criticism ; Eliot, George, 1819-1880--Criticism and interpretation","","English","",""
"Triumph and jeopardy : the shape of Jane Eyre","'Indian ink' : colonialism and the figurative strategy of Jane Eyre ; Charlotte Brontë's Jane Eyre ; Fairies and feminism : recurrent patterns in Chaucer's 'The wife of Bath's tale' and Brontë's Jane Eyre ; Jane Eyre ; Jane Eyre : lurid hieroglyphics ; Jane Eyre and the secrets of furious lovemaking ; St. John's way and the wayward reader ; The enigma of St. John Rivers ; The wild English girl : Jane Eyre ; Thornfield and 'the dream to repose on' : Jane Eyre","013673741","Monograph","Language material ; Text","Volume","GBA713279","","9780791093047","","","","","Bloom, Harold [person]","Bloom's modern critical interpretations","","United States of America","New York","Chelsea House","2007","Updated edition","vii, 235 pages","823.8","YC.2007.a.2495","Governesses in literature ; Brontë, Charlotte, 1816-1855","","English","",""
"Two great englishwomen : Mrs. Browning & Charlotte Brontë; with an essay on poetry, illustrated from Wordsworth, Burns and Byron","","000236139","Monograph","Language material ; Text","Volume","","","","Bayne, Peter","1830-1896","person","","Bayne, Peter, 1830-1896 [person]","","","England","London","J. Clarke","1880","","lxxviii, 340 pages (8°)","","11840.e.23","Browning, Elizabeth Barrett, 1806-1861 ; Brontë family ; Brontë, Charlotte, 1816-1855","","English","'The essay on poetry is published for the first time. Those on Mrs. Browning and the Brontë sisters are founded on Studies which appeared in the Literary world, and have now been carefully revised, greatly modified, and considerably extended.'--Pref. note",""
