"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Jane Eyre : ou, Mémoires d'une institutrice ... Roman ... Traduit avec l'autorisation de l'auteur par Mme Lesbazeilles-Souvestre, etc","Jane Eyre. French","018065985","Monograph","Language material ; Text","Online resource","","","","Brontë, Charlotte","1816-1855","person","","Lesbazeilles, E. (Eugène), 1826- [person] ; Brontë, Charlotte, 1816-1855 [person]","","","France","Paris","","1856","","ii, 459 pages (12°)","","Digital Store 12603.f.4","","","French","",""
"Jane Eyre : précédé de, Oeuvres de jeunesse, 1826-1847","Jane Eyre. French ; Poems ; Works","014758757","Monograph","Language material ; Text","Volume","","","9782070114955","Brontë, Charlotte","1816-1855","person","","Brontë, Anne, 1820-1849 [person] ; Jean, Dominique [person] ; Brontë, Patrick Branwell, 1817-1848 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","Bibliothèque de la Pléiade","542 [Bibliothèque de la Pléiade]","France","Paris","Gallimard","2008","","xxxix, 1723 pages, 18 cm","823.8","YF.2010.a.11485","English literature--Novels--19th century--Critical edition","","French","In slip case ; Translated from the English",""
"Jane Eyre : teacher's book","Jane Eyre","015295502","Monograph","Language material ; Text","Volume","GBA961144","","9781848623392","Dooley, Jenny","","person","","Brontë, Charlotte, 1816-1855 [person] ; Dooley, Jenny [person]","Classic readers","","England","Newbury","Express","2008","","62 pages, illustrations, 21 cm","","","Readers ; English language--Textbooks for foreign speakers","Textbook","English","Cover title ; Previous edition: 2003",""
"Jane Eyre : the graphic novel : original text version","","014531567","Monograph","Language material ; Text","Volume","GBA823341","","9781906332068","Brontë, Charlotte","1816-1855","person","","Corzine, Amy [person] ; Burns, John, 1938- [person] ; Wiley, Terry [person] ; Bryant, Clive [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","Towcester","Classical Comics","2008","","141 pages, chiefly colour illustrations, 25 cm","741.5","YK.2010.a.5473","England--Social life and customs--Comic books, strips, etc--Juvenile fiction ; Eyre, Jane (Fictitious character)--Comic books, strips, etc--Juvenile fiction ; Governesses--England--Comic books, strips, etc--Juvenile fiction","Children's fiction ; Comic or graphic novel","English","",""
"Jane Eyre : the graphic novel : quick text version","","014531568","Monograph","Language material ; Text","Volume","GBA823342","","9781906332082","Brontë, Charlotte","1816-1855","person","","Corzine, Amy [person] ; Burns, John, 1938- [person] ; Wiley, Terry [person] ; Bryant, Clive [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","Towcester","Classical Comics","2008","","141 pages, chiefly colour illustrations, 25 cm","741.5","YK.2010.a.5471","England--Social life and customs--Comic books, strips, etc--Juvenile fiction ; Eyre, Jane (Fictitious character)--Comic books, strips, etc--Juvenile fiction ; Governesses--England--Comic books, strips, etc--Juvenile fiction","Children's fiction ; Comic or graphic novel","English","",""
"Jane Eyre : the graphic novel","","015492885","Monograph","Language material ; Still image ; Text","Computer disc ; Volume","GBB525206","","9781907127021","Calway, Gareth","1956-","person","author","Calway, Gareth, 1956-, author [person]","Classical Comics teaching resource pack","","England","Litchborough, Towcester","Classical Comics","2009","UK edition","102 pages, illustrations, 30 cm + 1 CD","823.8","EMC.2013.b.70","Brontë, Charlotte, 1816-1855","","English","'Suitable for teaching ages 10-17.'",""
"Jane Eyre : the graphic novel, Charlotte Brontë","","015268730","Monograph","Language material ; Text","Volume","GBB605183","","9781906332129","Calway, Gareth","1956-","person","","Burns, John, 1938- [person] ; Calway, Gareth, 1956- [person]","Classical Comics study guide","","England","Towcester","Classical Comics","2008","","96 pages, illustrations, portraits, 30 cm","823.8","YKL.2016.b.649","Brontë, Charlotte, 1816-1855--Study and teaching (Secondary)--Activity programs--Great Britain","","English","Spiral-bound ; Suitable for teaching ages 10-17",""
"Jane Eyre : to which is added The Moores, an unpublished fragment ... With introduction by W. Robertson Nicoll","Moors","000485606","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Nicoll, W. Robertson (William Robertson), Sir, 1851-1923 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Hodder & Stoughton","1902","","xxiv 544 pages (8°)","","012622.h.7","","","","volume 1 of a projected edition of the Works of Charlotte Brontë",""
"Jane Eyre and Hathersage","","007447097","Monograph","Language material ; Text","Volume","GB8339562","","9780907602095","Hulbert, M. F. H.","","person","","Hulbert, M. F. H. [person]","","","England","Sheffield","Hathersage Parochial Church Council","1983","","16 pages, illustrations, 1 map, 1 portrait, 22 cm","823.8","X.809/56306","Hathersage (Derbyshire)--Description ; Fiction in English--Brontë, Charlotte--Jane Eyre--Local associations--Derbyshire--Hathersage ; Brontë, Charlotte, 1816-1855 ; Brontë, Charlotte, 1816-1855--Journeys--England--Hathersage","","English","Text and map on inside covers",""
"Jane Eyre and Hathersage","","010552603","Monograph","Language material ; Text","Volume","GB8118657","","","Hulbert, M. F. H.","","person","","Hulbert, M. F. H. [person]","","","England","Hathersage ; Vicarage, Hathersage, Sheffield S30 1AB","Hathersage Parochial Church Council","1980","","8 pages, illustrations, 1 portrait, 22 cm","823.8","X.200/35544","Hathersage (Derbyshire)--Description ; Fiction in English--Brontë, Charlotte--Jane Eyre--Local associations--Derbyshire--Hathersage ; Brontë, Charlotte, 1816-1855 ; Brontë, Charlotte, 1816-1855--Journeys--England--Hathersage","","English","",""
"Jane Eyre and the secrets of furious lovemaking","'Indian ink' : colonialism and the figurative strategy of Jane Eyre ; Charlotte Brontë's Jane Eyre ; Fairies and feminism : recurrent patterns in Chaucer's 'The wife of Bath's tale' and Brontë's Jane Eyre ; Jane Eyre ; Jane Eyre : lurid hieroglyphics ; St. John's way and the wayward reader ; The enigma of St. John Rivers ; The wild English girl : Jane Eyre ; Thornfield and 'the dream to repose on' : Jane Eyre ; Triumph and jeopardy : the shape of Jane Eyre","013673741","Monograph","Language material ; Text","Volume","GBA713279","","9780791093047","","","","","Bloom, Harold [person]","Bloom's modern critical interpretations","","United States of America","New York","Chelsea House","2007","Updated edition","vii, 235 pages","823.8","YC.2007.a.2495","Governesses in literature ; Brontë, Charlotte, 1816-1855","","English","",""
"Jane Eyre by Charlotte Brontë","Jane Eyre","010056188","Monograph","Language material ; Text","Volume","GB8800680","","9780333434093","Miles, Robert","1953-","person","","Miles, Robert, 1953- [person] ; Brontë, Charlotte, 1816-1855 [person]","Macmillan master guides","","England","Basingstoke","Macmillan","1988","","viii, 88 pages, 22 cm","823.8","YC.1988.a.14932","Fiction in English--Brontë, Charlotte--1816-1855 ; Brontë, Charlotte, 1816-1855","","English","",""
"Jane Eyre for GCSE","","017765686","Monograph","Language material ; Text","Volume","GBB634015","","9781471853609","Jones, Mike","","person","author","Jones, Mike, author [person]","Study and revise for GCSE","","England","London","Hodder Education","2016","","1 volume, 25 cm","823.8","","English fiction--19th century--Examinations--Study guides ; Brontë, Charlotte, 1816-1855","Study guide","English","Additional physical form: ebook version. 9781471854569",""
"Jane Eyre for GCSE","","017978859","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB6B5007","","9781471854569","Jones, Mike","","person","author","Jones, Mike, author [person]","Study and revise for GCSE","","England","London","Hodder Education","2016","","1 online resource","823.8","ELD.DS.86267","English fiction--19th century--Examinations--Study guides ; Brontë, Charlotte, 1816-1855","Study guide","English","Additional physical form: Print version. 9781471853609",""
"Jane Eyre in half the time","","013746150","Monograph","Language material ; Text","Volume","GBA736988","","9780753822784","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Compact editions","","England","London","Phoenix","2007","","1 volume, 20 cm","823.8","","Governesses--England--Fiction ; England--Social life and customs--Fiction","Fiction","English","",""
"Jane Eyre laid bare : the classic novel with an erotic twist","","016135886","Monograph","Language material ; Text","Volume","GBB275140","","9781447229285","Sinclair, Eve","","person","","Sinclair, Eve [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","","2012","","321 pages, 20 cm","813.6","H.2013/.6988","","Erotic fiction","English","",""
"Jane Eyre laid bare : the classic novel with an erotic twist","","018187028","Monograph","Language material ; Text","Online resource","GBB713167","","9780230768840","Sinclair, Eve","","person","","Sinclair, Eve [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England ; United Kingdom","London","","2012","","1 online resource (360 pages)","813.6","ELD.DS.112368","Historical Romance ; Erotica / General ; Historical Fiction","Erotic fiction","English","",""
"Jane Eyre laid bare : the classic novel with an erotic twist","Jane Eyre","017009996","Monograph","Language material ; Text","Volume","GBB505128","","9781447292548","Sinclair, Eve","","person","author","Brontë, Charlotte, 1816-1855 [person] ; Sinclair, Eve, author [person]","","","England","London","Macmillan","2015","","1 volume, 24 cm","813.6","","","Erotic fiction","English","Originally published: London: Pan, 2012",""
"Jane Eyre on stage, 1848-1898 : an illustrated edition of eight plays with contextual notes","Jane Eyre","013710390","Monograph","Language material ; Text","Volume","GBA748823","","9780754603481","","","","","Stoneman, Patsy [person] ; Brontë, Charlotte, 1816-1855 [person]","The nineteenth century series","","England","Aldershot","Ashgate","2007","","xi, 440 pages, illustrations, 24 cm","822.808351","YC.2007.a.13489 ; m07/.25863","Governesses--Drama ; Eyre, Jane (Fictitious character)--Drama ; English drama--19th century ; Brontë, Charlotte, 1816-1855--Adaptations","Adaptation ; Drama","English","",""
"Jane Eyre on stage, 1848-1898 : an illustrated edition of eight plays with contextual notes","Jane Eyre","018255081","Monograph","Language material ; Text","Online resource","GBB799403","","9781351925631","","","","","Stoneman, Patsy [person] ; Brontë, Charlotte, 1816-1855 [person]","The nineteenth century series","","","","Routledge","2017","","1 online resource (456 pages)","822.808351","ELD.DS.122757","Governesses--Drama ; Eyre, Jane (Fictitious character)--Drama ; English drama--19th century ; Brontë, Charlotte, 1816-1855--Adaptations","Adaptation ; Drama","English","",""
"Jane Eyre ou Mémoires d'une gouvernante","Jane Eyre. French","014603717","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","France","Paris","L. Hachette","1855","","183 pages","","RB.23.a.31799","","","French","",""
"Jane Eyre ou Mémoires d'une gouvernante","Jane Eyre. French","018051026","Monograph","Language material ; Text","Online resource","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","France","Paris","L. Hachette","1855","","183 pages","","Digital Store RB.23.a.31799","","","French","",""
"Jane Eyre","","000259286","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Smith, Elder","1855","5th edition","vii, 467 pages (8°)","","RB.23.a.22635","","","English","",""
"Jane Eyre","","000259288","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","United States of America","Philadelphia","R.M. Lindsay","1884","Haworth edition","2 volumes, illustrations, 24 cm","","12602.k.8","","","English","",""
"Jane Eyre","","000485592","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Smith, Elder","1889","","464 pages (8°)","","012635.a.5","","","","",""
"Jane Eyre","","000485593","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","G. Routledge","1889","","189 pages (8°)","","12624.f.8","","","English","",""
"Jane Eyre","","000485594","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Townsend, Frederick Henry [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Service & Paton","1896","","ix 436 pages (8°)","","012621.h.23","","","English","",""
"Jane Eyre","","000485595","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Garrett, Edmund Henry [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Walter Scott","1897","","2 parts (8°)","","12624.d.15","","","English","",""
"Jane Eyre","","000485596","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","George Newnes","1898","","vii 424 pages (8°)","","012621.l.23","","","English","",""
"Jane Eyre","","000485597","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Leask, William Keith [person]","","","England","London","Gresham","1899","","xxi 393 pages (8°)","","012622.i.4","","","English","",""
"Jane Eyre","","000485599","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","G. Routledge","1889","New edition","468 pages (8°)","","012611.i.4","","","","",""
"Jane Eyre","","000485600","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Cassell's Red Library","","England","London","","1890","","382 pages (8°)","","12600.ccc.20","","","","",""
"Jane Eyre","","000485601","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Ward, Lock","1890","","271 pages (8°)","","012611.l.5","","","","",""
"Jane Eyre","","000485602","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Howe","1891","","320 pages (16°)","","012611.de.21","","","","",""
"Jane Eyre","","000485603","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","G. Routledge","1892","","189 pages (8°)","","012611.k.24","","","","A reissue of the edition of 1889",""
"Jane Eyre","","000485604","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","R. E","1893","","468 pages (8°)","","012621.g.3","","","English","",""
"Jane Eyre","","000485605","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Burleigh Library","","England","London","Bliss, Sands","1896","","444 pages (8°)","","12201.e.2/5","","","","",""
"Jane Eyre","","000485607","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","New Century Library","","England","London","T. Nelson","1902","","517 pages (8°)","","012209.de.2/1","","","","",""
"Jane Eyre","","000485608","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Blackie","1903","","xxii-xxiv 393 pages (8°)","","012622.l.1","","","","",""
"Jane Eyre","","000485609","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Every Age Library","","England","London","C. H. Kelly","1914","","440 pages (8°)","","12207.r.27","","","","With plates",""
"Jane Eyre","","000485610","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","S. W. Partridge","1920","Another edition","vii 480 pages (8°)","","12621.pp.5","","","","",""
"Jane Eyre","","000485613","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Gresham","1924","","xxi, 393 pages (8°)","","012614.g.11","","","","A reissue of the edition of 1899",""
"Jane Eyre","","000485614","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England ; Scotland","Edinburgh ; London","T. Nelson","1924","","517 pages (8°)","","012634.e.22","","","","A reissue of the edition of 1912",""
"Jane Eyre","","000485615","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Ball, Margaret, ph.d [person] ; Brontë, Charlotte, 1816-1855 [person]","Modern Readers' Series","","United States of America","New York","Macmillan","1926","","xix, 543 pages (8°)","","012201.bb.1/10","","","","",""
"Jane Eyre","","000485616","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Harrap's Standard Fiction Library","","England","London","","1927","","vii, 414 pages (8°)","","012207.bbb.1/18","","","","",""
"Jane Eyre","","000485617","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England ; Scotland","Edinburgh ; London","T. Nelson","1929","","","","012603.c.26","","","","A reissue of the edition of 1912",""
"Jane Eyre","","000485618","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Harmsworth Library","","England","London","Amalgamated Press","1905","","xii, 472 pages (8°)","","12204.p.1/6","","","","",""
"Jane Eyre","","000485619","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England ; Scotland","Glasgow ; London","Blackie","1931","","xi 438 pages (8°)","","012601.ccc.49","","","","",""
"Jane Eyre","","000485620","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","T. Nelson","1932","","volumes 517 pages (8°)","","012600.aaa.45","","","","A reissue, with the addition of plates, of the edition of 1912",""
"Jane Eyre","","000485621","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Daily Express Publications","1933","","512 pages (8°)","","12602.p.12","","","","",""
"Jane Eyre","","000485623","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","York Library","","England","London","G. Bell","1906","","vii, 520 pages (8°)","","012201.i.1/23","","","","",""
"Jane Eyre","","000485624","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Andrew Melrose","1906","","xi 414 pages (8°)","","012622.h.36","","","","With plates",""
"Jane Eyre","","000485625","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","People's Library","","England","London","Cassell","1907","","478 pages (8°)","","012206.de.1/21","","","","",""
"Jane Eyre","","000485626","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","New Universal Library","","England","London","G. Routledge","1907","","vii, 456 pages (8°)","","12204.p.2/95","","","","volume 1 of a projected edition of the Works of Charlotte Brontë",""
"Jane Eyre","","000485627","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Sinclair, May [person]","Everyman's Library","","England ; United States of America","London ; New York","E. P. Dutton ; J M Dent","1908","","xxi, 595 pages (8°)","","12206.p.1/273","","","","",""
"Jane Eyre","","000485628","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Wheelhouse, M. V. (Mary V.) [person] ; Brontë, Charlotte, 1816-1855 [person] ; Shorter, Clement King, 1857-1926 [person]","","","England","London","G. Bell","1911","","xxiii 520 pages (8°)","","012624.f.6","","","","",""
"Jane Eyre","","000485629","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Nelson's Classics","","England","London","","1912","","517 pages (8°)","","012206.f.50","","","","",""
"Jane Eyre","","000485630","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Winterich, John T., 1891-1970 [person] ; Freedman, Barnett, 1901-1958 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","United States of America","New York","Heritage","1942","","xvi, 431 pages (8°)","","C.103.c.14","","","","The lithographs were printed at the Curwen Press in London",""
"Jane Eyre","","000485631","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Eichenberg, Fritz [person] ; Brontë, Charlotte, 1816-1855 [person]","","","United States of America","New York","Random House","1943","","343 pages (8°)","","Cup.503.d.15","","","","",""
"Jane Eyre","","000485632","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Modern Library of the World's Best Books","number 64 [Modern Library of the World's Best Books]","United States of America","New York","Random House","1946","","vii, 494 pages (8°)","","W.P.9139/33","","","","",""
"Jane Eyre","","000485633","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Knapp, Charles [person] ; Brontë, Charlotte, 1816-1855 [person]","Percy Press Reprints","","England","London","","1947","","ix, 467 pages (8°)","","W.P.1562/1","","","","",""
"Jane Eyre","","000485635","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Dent, John Cyril [person]","Minster English Texts","","England ; Scotland","Glasgow ; London","Blackie","1948","","xi, 460 pages (8°)","","W.P.9360/15","","","","",""
"Jane Eyre","","000485636","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Regent Classics","","England","London","Thames","1952","","280 pages (8°)","","W.P.13255/20","","","","",""
"Jane Eyre","","000485637","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Penguin Books","number 960 [Penguin Books]","England","London","Penguin","1953","","447 pages (8°)","","12208.a.1/960","","","","",""
"Jane Eyre","","000485638","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","","Collins ; London & Glasgow ; Verona","1953","","509 pages (8°)","","12652.a.16","","","","",""
"Jane Eyre","","000485639","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Everyman's Library","number 287 [Everyman's Library]","England ; United States of America","London ; New York","E. P. Dutton ; J M Dent","1953","","xv, 457 pages (8°)","","12206.p.1/822","","","","Previous edition 1908",""
"Jane Eyre","","000485640","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England ; Scotland","Glasgow ; London","Blackie","1954","","ix pages 7-434 (8°)","","12652.b.21","","","","",""
"Jane Eyre","","000485641","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Macdonald Illustrated Classics","number 35 [Macdonald Illustrated Classics]","England","London","Macdonald","1955","","xxix, 508 pages (8°)","","W.P.11235/35","","","","",""
"Jane Eyre","","000485642","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Abbey classics","","England ; Ireland","Dublin ; London","Murray7s Abbey Classics","1957","","253 pages (8°)","","W.P.D.175/26","","","","A reissue of the edition of [1946]",""
"Jane Eyre","","000485643","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Urwin, George Glencairn [person] ; Brontë, Charlotte, 1816-1855 [person]","London English Literature Series","","England","London","University of London Press","1957","","480 pages (8°)","","W.P.914/4","","","","",""
"Jane Eyre","","000485644","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Dean","1958","","248 pages (8°)","","12655.g.4","","","","",""
"Jane Eyre","","000485645","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Ward, A. C. (Alfred Charles), 1891-1973 [person]","Heritage of Literature Series Section B","number 39 [Heritage of Literature Series Section B]","England","London","Longmans Green","1959","","xxxiii, 603 pages (8°)","","012208.cc.1/129","","","","",""
"Jane Eyre","","000485646","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Schorer, Mark, 1908-1977 [person] ; Brontë, Charlotte, 1816-1855 [person]","Riverside editions","number B35 [Riverside editions]","United States of America","Boston ; Cambridge, Massachusetts","Houghton Mifflin ; Riverside","1959","","xvii, 429 pages, 21 cm","","X.909/25596","","","","",""
"Jane Eyre","","000485647","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Nelson Juniors","","England","London","","1960","","","","W.P.16455/38","","","","",""
"Jane Eyre","","000485648","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Forberg, Ati [person] ; Brontë, Charlotte, 1816-1855 [person]","Macmillan Classics","number 6 [Macmillan Classics]","England ; United States of America","London ; New York","Macmillan","1962","","545 pages (8°)","","12586.tt.1/6","","","","",""
"Jane Eyre","","000485649","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Gardiner, Harold Edward [person]","","","England ; Scotland","Glasgow ; London","Collins","1963","","","","X.908/2778","","","","Collins School Classics. number 7. A reissue, with notes and questions by H. E. Gardiner, of the edition of 1952 [1953]",""
"Jane Eyre","","000485650","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Clark, Reynold [person] ; Brontë, Charlotte, 1816-1855 [person]","Great Writing in English","","England","London","Longmans","1964","","ix, 565 pages (8°)","","X.0908/32. (4.)","","","","",""
"Jane Eyre","","000485651","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Folio Society","1965","","x, 410 pages (8°)","","Cup.500.aa.17","","","","",""
"Jane Eyre","","000485652","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Chosen books","number 24 [Chosen books]","England","London","Blackie","1966","","ix, 468 pages, 21 cm","","X.908/7607","","","","",""
"Jane Eyre","","000485653","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Leavis, Q. D. (Queenie Dorothy) [person]","Penguin English library","number EL11 [Penguin English library]","England","Harmondsworth","Penguin","1966","","489 pages, 19 cm","","X.0907/15. (11.)","","","","",""
"Jane Eyre","","000485654","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Tomkins, Anthony Robert [person] ; Brontë, Charlotte, 1816-1855 [person]","Medallion English texts","","England ; Scotland","Glasgow ; London","Blackie","1966","","xiii, 447 pages (8°)","","X.0908/93. (6.)","","","","",""
"Jane Eyre","","000485655","Monograph","Language material ; Text","Volume","","","9780198114901","Brontë, Charlotte","1816-1855","person","","Jack, Jane [person] ; Brontë, Charlotte, 1816-1855 [person] ; Smith, Margaret, critic [person]","Clarendon edition of the novels of the Brontës","","England","London","Oxford University Press","1969","","xxxiii, 635 pages, 3 plates, 23 cm","","X.909/18036","","","","",""
"Jane Eyre","","000485656","Monograph","Language material ; Text","Volume","","","9780600021148","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","","Feltham","Hamlyn","1969","","404 pages, plates, 24 cm","","X.900/4440","","","","Printed in Prague",""
"Jane Eyre","","000485658","Monograph","Language material ; Text","Volume","","","9780192553461","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Smith, Margaret, critic [person]","Oxford English novels","","England","London","Oxford University Press","1973","","xxxviii, 479, 21 cm","","X.0908/46. (47.)","","","","",""
