"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"823.8","012046457","Monograph","Language material ; Text","Volume","GB98X2978","","9781854793157","Wilks, Brian","1933-","person","","Wilks, Brian, 1933- [person]","Charlotte in love : the courtship and marriage of Charlotte Brontë","","","","England","London","Michael O'Mara","1998","","256 pages, 8 pages of plates, illustrations, portraits, 24 cm","99/19258 ; Nov.1998/1126","Brontë, Charlotte, 1816-1855--Biography ; Women novelists, English--19th century--Biography","","English","bibliography: p209. _ Includes index",""
"823.8","012236288","Monograph","Language material ; Text","Volume","GB7012945","","9780850670226","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Wilson, Marion [person]","The professor","","","","England","London","Folio Society","1970","","xiii, 205 pages, 8 plates, colour illustrations, 23 cm","","","","English","In slip case",""
"823.8","012273215","Monograph","Language material ; Text","Volume","GBA0W7624","","9780679783329","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","","","England ; United States of America","London ; New York","Hi Marketing ; Random House","2000","","704 pages, 20 cm","","Governesses--England--Fiction ; England--Social life and customs--19th century--Fiction","","English","",""
"823.8","012303007","Monograph","Language material ; Text","Volume","GB9474869","","9780701161378","Gordon, Lyndall","","person","","Gordon, Lyndall [person]","Charlotte Brontë : a passionate life","","","","England","London","Chatto & Windus","1994","","x, 418 pages 16 pages of plates, illustrations, facsimile, portraits, 25 cm","94/20670","English fiction ; Brontë, Charlotte, 1816-1855","","English","bibliography: p397-407. _ Includes index",""
"823.8","012305410","Monograph","Language material ; Text","Sheet","GB8855813","","9780708985052","Gaskell, Elizabeth Cleghorn","1810-1865","person","","Gaskell, Elizabeth Cleghorn, 1810-1865 [person]","The life of Charlotte Brontë","","Charnwood library series","","England","Leicester","Charnwood","1988","","756 pages (large print), 23 cm","","Brontë, Charlotte, 1816-1855 ; Fiction in English--Brontë, Charlotte--1816-1855--Biographies","","English","",""
"823.8","012478265","Monograph","Language material ; Text","Volume","GB9213934","","","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","The complete novels","Agnes Grey ; Jane Eyre ; Professor ; Shirley ; Tenant of Wildfell Hall ; Villette ; Wuthering Heights","","","England","London","Folio Society","1991","","7 volumes, illustrations, 23 cm","Nov.1993/59","English fiction","","English","In slip case ; Original texts published between 1847 and 1857. - Originally published by folio Society between 1964 and 1970 ; Title from slip case",""
"823.8","012486806","Monograph","Language material ; Text","Volume","GB9353203","","","Brontë, Charlotte","1816-1855","person","","Lebenson, Richard [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","","","England","London","Reader's Digest","1991","","414 pages, illustrations, 24 cm","Nov.1993/1924","English fiction","","English","Originally published: 1847",""
"823.8","012597565","Monograph","Language material ; Text","Volume","GB7831642","","9780198125655","Brontë, Charlotte","1816-1855","person","","Smith, Margaret, 1931- [person] ; Rosengarten, Herbert [person] ; Brontë, Charlotte, 1816-1855 [person]","Shirley","","","","England","Oxford","Clarendon","1979","Clarendon edition","xli, 2-835 pages, facsimiles, 23 cm","Nov.39353","Fiction in English--1837-1900--Texts","","English","",""
"823.8","012597574","Monograph","Language material ; Text","Volume","GB8408192","","9780198125976","Brontë, Charlotte","1816-1855","person","","Smith, Margaret, 1931- [person] ; Rosengarten, Herbert [person] ; Brontë, Charlotte, 1816-1855 [person]","Villette","","The Clarendon edition of the novels of the Brontës","","England","Oxford","Clarendon","1984","","lv, 768 pages, illustrations, 22 cm","X.950/40509","Women teachers--Fiction ; British--Belgium--Fiction ; Fiction in English--1837-1900--Texts ; Brussels (Belgium)--Fiction","Autobiographical fiction ; Romance fiction","English","",""
"823.8","012597613","Monograph","Language material ; Text","Volume","GB8705652","","9780198126942","Brontë, Charlotte","1816-1855","person","","Smith, Margaret, 1931- [person] ; Rosengarten, Herbert [person] ; Brontë, Charlotte, 1816-1855 [person]","The professor","","The Clarendon edition of the novels of the Brontës","","England","Oxford","Clarendon","1987","","760 pages, 1 map, 22 cm","YC.1988.a.731","British--Belgium--Fiction ; Fiction in English--1837-1900--Texts ; Triangles (Interpersonal relations)--Fiction ; Brussels (Belgium)--Fiction","Fiction ; Romance fiction","English","",""
"823.8","012599075","Monograph","Language material ; Text","Volume","GBA039021","","9780198185987","Brontë, Charlotte","1816-1855","person","","Smith, Margaret, 1931- [person] ; Brontë, Charlotte, 1816-1855 [person]","The letters of Charlotte Brontë : with a selection of letters by family and friends. Vol. 2. 1848-1851","","","","England","Oxford","Oxford University Press","2000","","lviii, 782 pages, 4 pages of plates, 25 cm","YC.2001.a.10004 ; m00/41268","Brontë, Charlotte, 1816-1855--Correspondence","Correspondence","English","",""
"823.8","012599076","Monograph","Language material ; Text","Volume","GBA3U3364","","9780198185994","Brontë, Charlotte","1816-1855","person","","Smith, Margaret, 1931- [person] ; Brontë, Charlotte, 1816-1855 [person]","The Letters of Charlotte Brontë : with a selection of letters by family and friends. Vol. 3. 1852-1855","","","","England","Oxford","Oxford University Press","2004","","xxxix, 396 pages, 4 pages of plates, illustrations, portraits, 24 cm","YC.2004.a.3057","Authors, English--19th century--Correspondence ; Brontë, Charlotte, 1816-1855--Correspondence","Correspondence","English","Includes index",""
"823.8","012599144","Monograph","Language material ; Text","Volume","GBA278752","","9780198187615","Glen, Heather","","person","","Glen, Heather [person]","Charlotte Brontë : the imagination in history","","","","England","Oxford","Oxford University Press","2002","","314 pages, 24 cm","YC.2002.a.21271 ; m03/27655","Women and literature--England--History--19th century ; Literature and history--England--History--19th century ; Brontë, Charlotte, 1816-1855--Knowledge--History ; History in literature","","English","",""
"823.8","012621886","Monograph","Language material ; Text","Volume","GB7837164","","9780417205007","","","","","","Notes on Charlotte Brontë's 'Jane Eyre'","","Study-aid series","","England","London","Methuen","1977","","3, 51 pages, 22 cm","X.909/42939","Fiction in English--Brontë, Charlotte--1816-1855 ; Brontë, Charlotte, 1816-1855","","English","Originally published: 1967 ; With answers to short questions",""
"823.8","012635878","Monograph","Language material ; Text","Volume","GB8122664","","9780708980156","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Charnwood large type ; Charnwood library series","","England","Leicester","Charnwood","1981","","739 pages, 23 cm","Nov.44864","Fiction in English--1837-1900--Texts","","English","",""
"823.8","012651621","Monograph","Language material ; Text","Volume","GB9768272","","9780805745139","Hoeveler, Diane Long","","person","","Hoeveler, Diane Long [person] ; Jadwin, Lisa [person]","Charlotte Brontë","","Twayne's English authors series","TEAS 541 [Twayne's English authors series]","England ; United States of America","London ; New York","Prentice Hall ; Twayne","1997","","xii, 189 pages, portraits, 23 cm","YA.1997.a.15146","Women and literature--England--History--19th century ; Brontë, Charlotte, 1816-1855--Criticism and interpretation","","English","",""
"823.8","012651806","Monograph","Language material ; Text","Volume","","","9780805766738","Blom, Margaret Howard","","person","","Blom, Margaret Howard [person]","Charlotte Brontë","","Twayne's English authors series","TEAS 203 [Twayne's English authors series]","United States of America","Boston, Massachusetts","Twayne","1977","","176 pages, 1 portrait, 21 cm","X.989/85895","Fiction in English--Brontë, Charlotte--1816-1855 ; Brontë, Charlotte, 1816-1855--Criticism and interpretation","","English","bibliography : p169_174. _ Includes index",""
"823.8","012694179","Monograph","Language material ; Text","Volume","GB9672869","","9781855975767","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Heppell, Jeannie [person]","Jane Eyre","","Henderson study system","","England","Woodbridge","Henderson","1995","","320 pages, 24 cm","YK.1996.b.13854","English fiction","","English","4 leaves of stickers attached to the back page",""
"823.8","012697781","Monograph","Language material ; Text","Volume","GB9427882","","9781856460408","Atfield, Joy Rosemary","","person","","Atfield, Joy Rosemary [person]","Students' guide to Jane Eyre","","","","England","Lutterworth","Tynron","1992","","viii, 210 pages, 19 cm","YK.1994.a.12232","English fiction ; Brontë, Charlotte, 1816-1855","","English","",""
"823.8","012701421","Monograph","Language material ; Text","Volume","GB9154712","","9781857150100","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Everyman's library","10 [Everyman's library]","England","London","Everyman","1991","","xl, 284 pages, 21 cm","12206.P.1/1413","English fiction","","English","",""
"823.8","012701478","Monograph","Language material ; Text","Volume","GB9213774","","9781857150681","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Villette","","Everyman's library","68 [Everyman's library]","England","London","Everyman","1992","","xxxi, 313 pages, 21 cm","12206.P.1/1444","English fiction","","English","",""
"823.8","012930433","Monograph","Language material ; Text","Volume","GBA598199","","9780582823051","","","","","Sayer, Karen, 1967- [person]","Jane Eyre, Charlotte Brontë","","York notes. Advanced","","England","Harlow","Longman","2004","New and fully revised edition","111 pages, 21 cm","YK.2005.a.16805","Brontë, Charlotte, 1816-1855","","English","Previous edition: 1998",""
"823.8","012937855","Monograph","Language material ; Text","Volume","GBA445951","","9781843910985","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","The foundling : a tale of our own times by Captain Tree","","Hesperus classics","","England","London","Hesperus","2004","","120 pages, 20 cm","H.2005/1103","","","English","",""
"823.8","013017268","Monograph","Language material ; Text","Volume","GBA534757","","9781904095804","Hubbard, Kate","1963-","person","","Hubbard, Kate, 1963- [person]","Who was-- Charlotte Brontë : the girl who turned her life into a book","","Who was","","England","London","Short","2004","","88 pages, 20 cm","YK.2005.a.3153","Authors, English--Biography--Juvenile literature ; Women authors, English--Biography--Juvenile literature ; Brontë, Charlotte, 1816-1855","Biography ; Children's literature","English","",""
"823.8","013038187","Serial","Language material ; Text","Online resource","GBB348131","","","","","","","Brontë Society [organisation]","Brontë studies","Bronte studies (Online) ; Brontë studies (Online)","","","England","Leeds","Brontë Society ; Maney","2002-","","","2349.992100","Brontë, Charlotte, 1816-1855--Criticism and interpretation--Periodicals ; Brontë family--Periodicals ; Brontë, Anne, 1820-1849--Criticism and interpretation--Periodicals ; Brontë, Emily, 1818-1848--Criticism and interpretation--Periodicals ; Brontë Society--Periodicals","Periodical","English","Additional physical form: Brontë studies (ISSN: 1474-8932) ; Continues: Brontë Society transactions (ISSN: 2057-7842)",""
"823.8","013063398","Monograph","Language material ; Text","Volume","GBA488887","","9781586633646","Phillips, Brian","","person","","Phillips, Brian [person] ; Crowther, John (John C.) [person] ; Mannheimer, Katie [person] ; Friedberg, Sarah [person]","Jane Eyre, Charlotte Brontë","","Sparknotes","","England ; United States of America","London ; New York","Barnes & Noble ; Spark","2002","","77 pages, 21 cm","YK.2008.a.11944","Brontë, Charlotte, 1816-1855--Criticism and interpretation","","English","",""
"823.8","013074833","Monograph","Language material ; Text","Volume","GBA501410","","9781843911173","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","The spell : an extravaganza","","Hesperus classics","","England","London","Hesperus","2005","","ix, 136 pages, 20 cm","H.2006/258","Inheritance and succession--Fiction","Fiction","English","",""
"823.8","013106259","Monograph","Language material ; Text","Volume","GBA511602","","9781403943026","Peschier, Diana","1950-","person","","Peschier, Diana, 1950- [person]","Nineteenth-century anti-Catholic discourses : the case of Charlotte Brontë","","","","England ; United States of America","Basingstoke","Palgrave Macmillan","2005","","x, 198 pages, 22 cm","YC.2005.a.7378 ; m05/.28050","Anti-Catholicism in literature ; Catholics in literature ; Brontë, Charlotte, 1816-1855--Characters--Catholics ; Anti-Catholicism--England--History--19th century ; Brontë, Charlotte, 1816-1855--Religion ; Christianity and literature--England--History--19th century","","English","",""
"823.8","013130241","Monograph","Language material ; Text","Volume","GBA521057","","9781403967961","Torgerson, Beth E. (Beth Ellen)","","person","author","Torgerson, Beth E. (Beth Ellen), author [person]","Reading the Brontë body : disease, desire, and the constraints of culture","","","","England ; United States of America","Basingstoke ; New York","Palgrave Macmillan","2005","","x, 180 pages, 22 cm","YC.2005.a.14122 ; m05/.34402","Brontë, Anne, 1820-1849--Criticism and interpretation ; Women and literature--England--History--19th century ; Literature and medicine--England--History--19th century ; Body, Human, in literature ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Diseases in literature ; Desire in literature ; Brontë, Emily, 1818-1848--Criticism and interpretation","","English","Revision of the author's thesis (Ph. D.) --University of Nebraska--Lincoln, 2001",""
"823.8","013207145","Monograph","Language material ; Text","Volume","GBA545179","","","Brontë, Charlotte","1816-1855","person","","Hook, Andrew, 1932- [person] ; Brontë, Charlotte, 1816-1855 [person] ; Hook, Judith [person]","Shirley","","Penguin classics","","England","London","Penguin","1985","","622 pages, 18 cm","H.2005/1996","Yorkshire (England)--Fiction ; Textile industry--Fiction","Fiction","English","Originally published: Harmondsworth, Penguin books, 1974",""
"823.8","013256839","Monograph","Language material ; Text","Volume","GBA561508","","9780582275119","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Attwood, E. M. (Evelyn May), 1906- [person]","Jayne Eyre","","Longman fiction","","England","Harlow","Longman","1996","Simplified edition, simplified by Evelyn Attwood, general editors Andy Hopkins and Jocelyn Potter","iii, 163 pages, 20 cm","H.2005/3650","Governesses--England--Fiction ; England--Social life and customs--Fiction","Fiction ; Reader","English","Originally published: 1949",""
"823.8","013385943","Monograph","Language material ; Text","Volume","GBA616400","","9780195177787 ; 9780195177794","","","","","Michie, Elsie B. (Elsie Browning), 1948- [person]","Charlotte Brontë's Jane Eyre : a casebook","","","","England ; United States of America","New York ; Oxford","Oxford University Press","2006","","viii, 212 pages, 22 cm","YC.2006.a.12254 ; m06/.27301","Governesses in literature ; Brontë, Charlotte, 1816-1855","","English","",""
"823.8","013401457","Monograph","Language material ; Text","Volume","","","9781551114613","Brontë, Charlotte","1816-1855","person","","Lawson, Kate, 1958- [person] ; Brontë, Charlotte, 1816-1855 [person]","Villette","","Broadview editions","","Canada","Peterborough, Ontario","Broadview","2005","","","","","","English","",""
"823.8","013406698","Monograph","Language material ; Text","Volume","GBA626286","","","Brontë Society Weekend Conference, Haworth, England","2004","meeting/conference","","Brontë Society [organisation] ; Duckett, R. J. (Robert John), editor [person] ; Brontë Society Weekend Conference, Haworth, England, 2004 [meeting/conference]","The Brontës and education : papers presented to the Brontë Society weekend conference, September 2004","","Brontë Society occasional publications","number 10 [Brontë Society occasional publications]","England","Haworth","Brontë Society","2005","","100 pages, illustrations, 21 cm","YK.2006.a.6301","Brontë, Anne, 1820-1849--Congresses ; Brontë, Emily, 1818-1848--Congresses ; Brontë, Charlotte, 1816-1855--Congresses ; Education--England--Haworth--History--19th century","Congress","English","",""
"823.8","013406721","Monograph","Language material ; Text","Volume","GBA626204","","9781903007105","Emberson, Ian M.","","person","","Brontë Society [organisation] ; Emberson, Ian M. [person]","Pilgrims from loneliness : an interpretation of Charlotte Brontë's 'Jane Eyre' and 'Villette'","","","","England","Haworth","Brontë Society","2005","","150 pages, 21 cm","YC.2006.a.5526","Brontë, Charlotte, 1816-1855--Criticism and interpretation","","English","",""
"823.8","013408287","Monograph","Language material ; Text","Volume","GBA624658","","9780140435092","Brontë, Charlotte","1816-1855","person","","Glen, Heather [person] ; Brontë, Charlotte, 1816-1855 [person]","Tales of Angria","","Penguin classics","","England","London","Penguin","2006","","lx, 587 pages, 20 cm","H.2006/3816","Angria (Imaginary place)--Fiction","Fiction","English","",""
"823.8","013425934","Monograph","Language material ; Text","Volume","GBA631386","","9780141439860","Brontë, Charlotte","1816-1855","person","","Cox, Jessica [person] ; Brontë, Charlotte, 1816-1855 [person]","Shirley","","Penguin classics","","England","London","Penguin","2006","","xxxvi, 664 pages, 20 cm","H.2006/3465","Yorkshire (England)--Social life and customs--19th century--Fiction","Fiction","English","",""
"823.8","013425935","Monograph","Language material ; Text","Volume","GBA631387","","9780141441146","Brontë, Charlotte","1816-1855","person","","Davies, Stevie [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Penguin classics","","England","London","Penguin","2006","New edition, edited with an introduction and notes by Stevie Davies","576 pages, 20 cm","H.2006/4175","Governesses--England--Fiction ; England--Social life and customs--Fiction","Fiction","English","",""
"823.8","013443149","Monograph","Language material ; Text","Volume","GBA639203","","9781843911258","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","The secret","","Hesperus classics","","England","London","Hesperus","2006","","123 pages","H.2006/3919","Governesses--Fiction ; Married people--Fiction ; Upper class families--Fiction","Fiction","English","",""
"823.8","013494532","Monograph","Language material ; Text","Volume","GBA655467","","9780141029085","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","","","England","London","Penguin","2006","","624 pages, 19 cm","","Governesses--England--Fiction ; England--Social life and customs--Fiction","Fiction","English","TV tie-in",""
"823.8","013523047","Monograph","Language material ; Text","Volume","GBA667191","","9780747587491","Brontë, Charlotte","1816-1855","person","","Plaisted, Caroline [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Bloomsbury classics","","England","London","Bloomsbury","2006","","viii, 495 pages, 20 cm","H.2008/2191","Governesses--England--Fiction ; England--Social life and customs--Fiction ; Eyre, Jane (Fictitious character)--Fiction","Fiction","English","'Why you should read this by Celia Rees, Extra! extra! by Caroline Plaisted.'",""
"823.8","013567274","Monograph","Language material ; Text","Volume","GBA683499","","9780199297160","Brontë, Charlotte","1816-1855","person","","Smith, Margaret, 1931- [person] ; Rosengarten, Herbert [person] ; Brontë, Charlotte, 1816-1855 [person] ; Gezari, Janet [person]","Shirley","","Oxford world's classics","","England","Oxford","Oxford University Press","2007","New edition, edited by Margaret Smith, Herbert Rosengarten and Janet Gezari","xxxvii, 572 pages, 20 cm","H.2007/2172","Yorkshire (England)--Social life and customs--Fiction","Fiction","English","Previous edition: 1981",""
"823.8","013661420","Monograph","Language material ; Text","Volume","GBA710606","","9781847490001","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","","","England","Richmond","Oneworld Classics","2007","","492 pages, 8 pages of plates, illustrations, 20 cm","H.2009/3117","Fathers and daughters--Fiction ; Young women--Fiction ; Orphans--Fiction ; Governesses--Fiction ; Married people--Fiction ; Country homes--Fiction ; England--Fiction ; Mentally ill women--Fiction ; Charity-schools--Fiction","Bildungsroman ; Fiction ; Romance fiction","English","",""
"823.8","013673741","Monograph","Language material ; Text","Volume","GBA713279","","9780791093047","","","","","Bloom, Harold [person]","Charlotte Brontë's Jane Eyre","'Indian ink' : colonialism and the figurative strategy of Jane Eyre ; Fairies and feminism : recurrent patterns in Chaucer's 'The wife of Bath's tale' and Brontë's Jane Eyre ; Jane Eyre ; Jane Eyre : lurid hieroglyphics ; Jane Eyre and the secrets of furious lovemaking ; St. John's way and the wayward reader ; The enigma of St. John Rivers ; The wild English girl : Jane Eyre ; Thornfield and 'the dream to repose on' : Jane Eyre ; Triumph and jeopardy : the shape of Jane Eyre","Bloom's modern critical interpretations","","United States of America","New York","Chelsea House","2007","Updated edition","vii, 235 pages","YC.2007.a.2495","Governesses in literature ; Brontë, Charlotte, 1816-1855","","English","",""
"823.8","013740656","Monograph","Language material ; Text","Volume","GBA734718","","9780199205875","Brontë, Charlotte","1816-1855","person","","Smith, Margaret, 1931- [person] ; Brontë, Charlotte, 1816-1855 [person]","Selected letters of Charlotte Brontë","","","","England","Oxford","Oxford University Press","2007","","xlvi, 259 pages, illustrations, 24 cm","YC.2007.a.17227 ; m07/.32155","Novelists, English--18th century--Correspondence ; Brontë, Charlotte, 1816-1855--Correspondence","Correspondence","English","",""
"823.8","013746150","Monograph","Language material ; Text","Volume","GBA736988","","9780753822784","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre in half the time","","Compact editions","","England","London","Phoenix","2007","","1 volume, 20 cm","","Governesses--England--Fiction ; England--Social life and customs--Fiction","Fiction","English","",""
"823.8","013828440","Monograph","Language material ; Text","Volume","GBA768214","","9780099511120","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","","","England","London","Vintage","2007","","545 pages, 20 cm","H.2008/462","Governesses--England--Fiction ; England--Social life and customs--Fiction ; Eyre, Jane (Fictitious character)--Fiction","Fiction","English","Originally published: London: Penguin, 2006",""
"823.8","013992711","Monograph","Language material ; Text","Volume","GBA895268","","9780393314489","Gordon, Lyndall","","person","","Gordon, Lyndall [person]","Charlotte Brontë : a passionate life","","","","England ; United States of America","London ; New York","Norton","1996","","xiv, 418 pages, 16 pages of plates, illustrations, 24 cm","YC.2008.a.7860","Novelists, English--19th century--Biography ; Brontë, Charlotte, 1816-1855","Biography","English","Originally published: London : Chatto & Windus, 1994",""
"823.8","014374505","Monograph","Language material ; Text","Volume","GBA794225","","9780791093627","","","","","Bloom, Harold [person]","Charlotte Brontë's Jane Eyre","Jane Eyre","Bloom's guides","","United States of America","New York","Bloom","2007","","100 pages, 23 cm","YC.2007.a.16254","Governesses in literature ; Brontë, Charlotte, 1816-1855","","English","",""
"823.8","014458208","Monograph","Language material ; Text","Volume","GBA797104","","9780230554252","Thomas, Sue","1955-","person","","Thomas, Sue, 1955- [person]","Imperialism, reform, and the making of Englishness in Jane Eyre","","","","England","Basingstoke","Palgrave Macmillan","2008","","xi, 170 pages, 23 cm","YC.2008.a.9158 ; m10/.18874","National characteristics, English, in literature ; Brontë, Charlotte, 1816-1855 ; Imperialism in literature","","English","",""
"823.8","014464650","Monograph","Language material ; Text","Volume","GBA7A0031","","9780307268211 ; 9781857152920","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Shirley : The professor","Professor","","","England ; United States of America","London ; New York","Everyman","2008","","xxviii, 922 pages, 22 cm","Nov.2009/909","Textile industry--England--Yorkshire--Fiction ; Napoleonic Wars, 1800-1815--Fiction ; Yorkshire (England)--Social conditions--Fiction","Fiction","English","",""
"823.8","014487274","Monograph","Language material ; Text","Volume","GBA804052","","9780199535590","Brontë, Charlotte","1816-1855","person","","Smith, Margaret, 1931- [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Oxford world's classics","","England","Oxford","Oxford University Press","2008","New edition, edited by Margaret Smith","1 volume, 20 cm","","Governesses--England--Fiction ; England--Social life and customs--Fiction","Fiction","English","This edition originally published: 1998",""
"823.8","014507751","Monograph","Language material ; Text","Volume","GBA813023","","9780199540808","Brontë, Charlotte","1816-1855","person","","Smith, Margaret, 1931- [person] ; Rosengarten, Herbert [person] ; Brontë, Charlotte, 1816-1855 [person] ; Gezari, Janet [person]","Shirley","","Oxford world's classics","","England","Oxford","Oxford University Press","2008","New edition, edited by Herbert Rosengarten and Margaret Smith,with an introduction and additional notes by Janet Gezari","1 volume, 20 cm","","Yorkshire (England)--Social life and customs--Fiction","Fiction","English","This edition originally published: 2007",""
"823.8","014519659","Monograph","Language material ; Text","Volume","GBA817968","","9780754657521","","","","","Hagan, Sandra, 1964-, editor [person] ; Wells, Juliette, 1977-, editor [person]","The Brontës in the world of the arts","","The nineteenth century series","","England","Aldershot","Ashgate","2008","","xii, 256 pages, illustrations, 24 cm","YC.2009.a.813 ; m09/.23979","Authors as artists--England ; Women and literature--England--History--19th century ; Brontë family ; Brontë, Anne, 1820-1849--Knowledge--Art ; Brontë, Emily, 1818-1848--Knowledge--Art ; Brontë, Charlotte, 1816-1855--Knowledge--Art","","English","",""
"823.8","014530991","Monograph","Language material ; Text","Volume","GBA822766","","9780773533653","Adamson, Alan H.","","person","","Adamson, Alan H. [person]","Mr Charlotte Brontë : the life of Arthur Bell Nicholls","","","","Canada","Chesham ; Montréal, Québec","Combined Academic ; McGill-Queen's University Press","2008","","xiv, 188 pages, illustrations, 23 cm","m08/.20181","Brontë, Charlotte, 1816-1855--Marriage ; Nicholls, Arthur Bell, 1819-1906 ; Authors' spouses--Great Britain--Biography","Biography","English","",""
"823.8","014567619","Monograph","Language material ; Text","Volume","GBA848758","","9781411403550","","","","","","Jane Eyre, Charlotte Brontë","","Sparknotes literature guides","","England ; United States of America","Lewes ; New York","SparkNotes","2008","","1 volume, 21 cm","","Brontë, Charlotte, 1816-1855","","English","",""
"823.8","014580459","Monograph","Language material ; Text","Volume","GBB018941","","9781840225648","Gaskell, Elizabeth Cleghorn","1810-1865","person","","Gaskell, Elizabeth Cleghorn, 1810-1865 [person]","The life of Charlotte Brontë","Charlotte Brontë","Wordsworth literary lives","","England","Ware","Wordsworth","2008","","xxiv, 419 pages, 20 cm","YK.2009.a.28721","Novelists, English--19th century--Biography ; Women novelists, English--19th century--Biography ; Brontë, Charlotte, 1816-1855","Biography","English","paperback",""
"823.8","014595389","Monograph","Language material ; Text","Volume","GBA858647","","9780199536672","Brontë, Charlotte","1816-1855","person","","Smith, Margaret, 1931- [person] ; Rosengarten, Herbert [person] ; Brontë, Charlotte, 1816-1855 [person]","The professor","","Oxford world's classics","","England","Oxford","Oxford University Press","2008","New edition, edited by Margaret Smith and Herbert Rosengarten,with an introduction by Margaret Smith","xxxv, 260 pages, 20 cm","H.2009/3209","Teachers--Belgium--Fiction ; English--Belgium--Fiction","Fiction","English","This edition originally published: 1991",""
"823.8","014633804","Monograph","Language material ; Text","Volume","GBA873762","","9781844084722","Gordon, Lyndall","","person","","Gordon, Lyndall [person]","Charlotte Brontë : a passionate life","","","","England","London","Virago","2008","","467 pages, 16 pages of plates, illustrations, 20 cm","YC.2009.a.14821","Novelists, English--19th century--Biography ; Women novelists, English--19th century--Biography ; Brontë, Charlotte, 1816-1855","Biography","English","Originally published: London: Chatto & Windus, 1994",""
"823.8","014656307","Monograph","Language material ; Text","Volume","GBA882617","","9780340965719","Grow, Anne","","person","","Grow, Anne [person]","Jane Eyre","","AS/A-level student text guide","","England","London","Philip Allan","2008","","125 pages","YK.2014.a.5847","Brontë, Charlotte, 1816-1855","","English","",""
"823.8","014691231","Monograph","Language material ; Text","Volume","GBA898288","","9780230518155 ; 9780230518162","Lodge, Sara (Sara J.)","","person","","Lodge, Sara (Sara J.) [person]","Charlotte Bronte - Jane Eyre","","Readers' guides to essential criticism","","England","Basingstoke","Palgrave Macmillan","2009","","x, 181 pages, 22 cm","YC.2009.a.4399 ; m09/.11983","Brontë, Charlotte, 1816-1855","","English","",""
"823.8","014758757","Monograph","Language material ; Text","Volume","","","9782070114955","Brontë, Charlotte","1816-1855","person","","Brontë, Anne, 1820-1849 [person] ; Jean, Dominique [person] ; Brontë, Patrick Branwell, 1817-1848 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre : précédé de, Oeuvres de jeunesse, 1826-1847","Jane Eyre. French ; Poems ; Works","Bibliothèque de la Pléiade","542 [Bibliothèque de la Pléiade]","France","Paris","Gallimard","2008","","xxxix, 1723 pages, 18 cm","YF.2010.a.11485","English literature--Novels--19th century--Critical edition","","French","In slip case ; Translated from the English",""
"823.8","014780294","Monograph","Language material ; Text","Volume","GBB025321","","9781905863334","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Abridged English classics","","England","London","","2008","","119 pages, 23 cm","Nov.2009/1864","Eyre, Jane (Fictitious character)--Juvenile fiction ; Governesses--Juvenile fiction ; England--Social life and customs--19th century--Juvenile fiction","Children's fiction","English","Includes index",""
